Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
7	:	1609965059.180	    29.205	0	3179	0	0	cd _experiments/plot_csv/_simulations/006_plot_csv && bash run.sh -e plot_csv -i 006 -s 32 -c 32 -rmo
5	:	1609965059.171	    29.273	0	3180	0	0	cd _experiments/plot_csv/_simulations/004_plot_csv && bash run.sh -e plot_csv -i 004 -s 32 -c 32 -rmo
19	:	1609965059.250	    29.259	0	3182	0	0	cd _experiments/plot_csv/_simulations/018_plot_csv && bash run.sh -e plot_csv -i 018 -s 32 -c 32 -rmo
4	:	1609965059.166	    29.343	0	3179	0	0	cd _experiments/plot_csv/_simulations/003_plot_csv && bash run.sh -e plot_csv -i 003 -s 32 -c 32 -rmo
15	:	1609965059.231	    29.279	0	3180	0	0	cd _experiments/plot_csv/_simulations/014_plot_csv && bash run.sh -e plot_csv -i 014 -s 32 -c 32 -rmo
32	:	1609965059.326	    29.184	0	3156	0	0	cd _experiments/plot_csv/_simulations/031_plot_csv && bash run.sh -e plot_csv -i 031 -s 32 -c 32 -rmo
14	:	1609965059.221	    29.347	0	3180	0	0	cd _experiments/plot_csv/_simulations/013_plot_csv && bash run.sh -e plot_csv -i 013 -s 32 -c 32 -rmo
21	:	1609965059.264	    29.449	0	3182	0	0	cd _experiments/plot_csv/_simulations/020_plot_csv && bash run.sh -e plot_csv -i 020 -s 32 -c 32 -rmo
12	:	1609965059.212	    29.643	0	3181	0	0	cd _experiments/plot_csv/_simulations/011_plot_csv && bash run.sh -e plot_csv -i 011 -s 32 -c 32 -rmo
17	:	1609965059.238	    29.687	0	3182	0	0	cd _experiments/plot_csv/_simulations/016_plot_csv && bash run.sh -e plot_csv -i 016 -s 32 -c 32 -rmo
24	:	1609965059.281	    29.949	0	3185	0	0	cd _experiments/plot_csv/_simulations/023_plot_csv && bash run.sh -e plot_csv -i 023 -s 32 -c 32 -rmo
1	:	1609965059.154	    30.139	0	3134	0	0	cd _experiments/plot_csv/_simulations/000_plot_csv && bash run.sh -e plot_csv -i 000 -s 32 -c 32 -rmo
18	:	1609965059.243	    30.121	0	3182	0	0	cd _experiments/plot_csv/_simulations/017_plot_csv && bash run.sh -e plot_csv -i 017 -s 32 -c 32 -rmo
13	:	1609965059.215	    30.156	0	3180	0	0	cd _experiments/plot_csv/_simulations/012_plot_csv && bash run.sh -e plot_csv -i 012 -s 32 -c 32 -rmo
31	:	1609965059.323	    30.141	0	3184	0	0	cd _experiments/plot_csv/_simulations/030_plot_csv && bash run.sh -e plot_csv -i 030 -s 32 -c 32 -rmo
3	:	1609965059.163	    30.446	0	3180	0	0	cd _experiments/plot_csv/_simulations/002_plot_csv && bash run.sh -e plot_csv -i 002 -s 32 -c 32 -rmo
30	:	1609965059.315	    30.444	0	3182	0	0	cd _experiments/plot_csv/_simulations/029_plot_csv && bash run.sh -e plot_csv -i 029 -s 32 -c 32 -rmo
2	:	1609965059.158	    30.750	0	3180	0	0	cd _experiments/plot_csv/_simulations/001_plot_csv && bash run.sh -e plot_csv -i 001 -s 32 -c 32 -rmo
28	:	1609965059.299	    30.680	0	3184	0	0	cd _experiments/plot_csv/_simulations/027_plot_csv && bash run.sh -e plot_csv -i 027 -s 32 -c 32 -rmo
22	:	1609965059.270	    30.775	0	3185	0	0	cd _experiments/plot_csv/_simulations/021_plot_csv && bash run.sh -e plot_csv -i 021 -s 32 -c 32 -rmo
23	:	1609965059.278	    30.841	0	3185	0	0	cd _experiments/plot_csv/_simulations/022_plot_csv && bash run.sh -e plot_csv -i 022 -s 32 -c 32 -rmo
11	:	1609965059.206	    31.038	0	3182	0	0	cd _experiments/plot_csv/_simulations/010_plot_csv && bash run.sh -e plot_csv -i 010 -s 32 -c 32 -rmo
29	:	1609965059.306	    31.010	0	3184	0	0	cd _experiments/plot_csv/_simulations/028_plot_csv && bash run.sh -e plot_csv -i 028 -s 32 -c 32 -rmo
10	:	1609965059.199	    31.200	0	3182	0	0	cd _experiments/plot_csv/_simulations/009_plot_csv && bash run.sh -e plot_csv -i 009 -s 32 -c 32 -rmo
26	:	1609965059.292	    31.108	0	3183	0	0	cd _experiments/plot_csv/_simulations/025_plot_csv && bash run.sh -e plot_csv -i 025 -s 32 -c 32 -rmo
6	:	1609965059.176	    31.224	0	3180	0	0	cd _experiments/plot_csv/_simulations/005_plot_csv && bash run.sh -e plot_csv -i 005 -s 32 -c 32 -rmo
25	:	1609965059.285	    31.118	0	3183	0	0	cd _experiments/plot_csv/_simulations/024_plot_csv && bash run.sh -e plot_csv -i 024 -s 32 -c 32 -rmo
8	:	1609965059.188	    31.215	0	3177	0	0	cd _experiments/plot_csv/_simulations/007_plot_csv && bash run.sh -e plot_csv -i 007 -s 32 -c 32 -rmo
9	:	1609965059.194	    31.210	0	3181	0	0	cd _experiments/plot_csv/_simulations/008_plot_csv && bash run.sh -e plot_csv -i 008 -s 32 -c 32 -rmo
16	:	1609965059.235	    31.169	0	3183	0	0	cd _experiments/plot_csv/_simulations/015_plot_csv && bash run.sh -e plot_csv -i 015 -s 32 -c 32 -rmo
27	:	1609965059.295	    31.166	0	3183	0	0	cd _experiments/plot_csv/_simulations/026_plot_csv && bash run.sh -e plot_csv -i 026 -s 32 -c 32 -rmo
20	:	1609965059.256	    31.205	0	3181	0	0	cd _experiments/plot_csv/_simulations/019_plot_csv && bash run.sh -e plot_csv -i 019 -s 32 -c 32 -rmo
