Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
23	:	1613666708.664	    10.622	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/022_pres_64s_3l && bash run.sh -e pres_64s_3l -i 022 -s 64 -c 32 -rmo
10	:	1613666708.599	    10.759	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/009_pres_64s_3l && bash run.sh -e pres_64s_3l -i 009 -s 64 -c 32 -rmo
15	:	1613666708.628	    11.457	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/014_pres_64s_3l && bash run.sh -e pres_64s_3l -i 014 -s 64 -c 32 -rmo
14	:	1613666708.625	    11.568	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/013_pres_64s_3l && bash run.sh -e pres_64s_3l -i 013 -s 64 -c 32 -rmo
5	:	1613666708.573	    11.697	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/004_pres_64s_3l && bash run.sh -e pres_64s_3l -i 004 -s 64 -c 32 -rmo
2	:	1613666708.558	    11.788	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/001_pres_64s_3l && bash run.sh -e pres_64s_3l -i 001 -s 64 -c 32 -rmo
18	:	1613666708.640	    11.706	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/017_pres_64s_3l && bash run.sh -e pres_64s_3l -i 017 -s 64 -c 32 -rmo
24	:	1613666708.669	    11.679	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/023_pres_64s_3l && bash run.sh -e pres_64s_3l -i 023 -s 64 -c 32 -rmo
32	:	1613666708.722	    11.773	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/031_pres_64s_3l && bash run.sh -e pres_64s_3l -i 031 -s 64 -c 32 -rmo
27	:	1613666708.683	    11.896	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/026_pres_64s_3l && bash run.sh -e pres_64s_3l -i 026 -s 64 -c 32 -rmo
30	:	1613666708.716	    11.863	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/029_pres_64s_3l && bash run.sh -e pres_64s_3l -i 029 -s 64 -c 32 -rmo
4	:	1613666708.569	    12.012	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/003_pres_64s_3l && bash run.sh -e pres_64s_3l -i 003 -s 64 -c 32 -rmo
8	:	1613666708.590	    11.994	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/007_pres_64s_3l && bash run.sh -e pres_64s_3l -i 007 -s 64 -c 32 -rmo
11	:	1613666708.604	    11.980	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/010_pres_64s_3l && bash run.sh -e pres_64s_3l -i 010 -s 64 -c 32 -rmo
22	:	1613666708.658	    11.990	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/021_pres_64s_3l && bash run.sh -e pres_64s_3l -i 021 -s 64 -c 32 -rmo
28	:	1613666708.704	    11.946	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/027_pres_64s_3l && bash run.sh -e pres_64s_3l -i 027 -s 64 -c 32 -rmo
16	:	1613666708.633	    12.020	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/015_pres_64s_3l && bash run.sh -e pres_64s_3l -i 015 -s 64 -c 32 -rmo
9	:	1613666708.593	    12.071	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/008_pres_64s_3l && bash run.sh -e pres_64s_3l -i 008 -s 64 -c 32 -rmo
12	:	1613666708.607	    12.058	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/011_pres_64s_3l && bash run.sh -e pres_64s_3l -i 011 -s 64 -c 32 -rmo
25	:	1613666708.673	    11.993	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/024_pres_64s_3l && bash run.sh -e pres_64s_3l -i 024 -s 64 -c 32 -rmo
26	:	1613666708.680	    11.986	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/025_pres_64s_3l && bash run.sh -e pres_64s_3l -i 025 -s 64 -c 32 -rmo
29	:	1613666708.713	    11.954	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/028_pres_64s_3l && bash run.sh -e pres_64s_3l -i 028 -s 64 -c 32 -rmo
19	:	1613666708.643	    12.095	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/018_pres_64s_3l && bash run.sh -e pres_64s_3l -i 018 -s 64 -c 32 -rmo
6	:	1613666708.577	    12.246	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/005_pres_64s_3l && bash run.sh -e pres_64s_3l -i 005 -s 64 -c 32 -rmo
7	:	1613666708.581	    12.246	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/006_pres_64s_3l && bash run.sh -e pres_64s_3l -i 006 -s 64 -c 32 -rmo
1	:	1613666708.555	    12.273	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/000_pres_64s_3l && bash run.sh -e pres_64s_3l -i 000 -s 64 -c 32 -rmo
13	:	1613666708.617	    12.212	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/012_pres_64s_3l && bash run.sh -e pres_64s_3l -i 012 -s 64 -c 32 -rmo
20	:	1613666708.647	    12.182	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/019_pres_64s_3l && bash run.sh -e pres_64s_3l -i 019 -s 64 -c 32 -rmo
21	:	1613666708.653	    12.176	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/020_pres_64s_3l && bash run.sh -e pres_64s_3l -i 020 -s 64 -c 32 -rmo
31	:	1613666708.720	    12.109	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/030_pres_64s_3l && bash run.sh -e pres_64s_3l -i 030 -s 64 -c 32 -rmo
3	:	1613666708.563	    12.286	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/002_pres_64s_3l && bash run.sh -e pres_64s_3l -i 002 -s 64 -c 32 -rmo
17	:	1613666708.636	    12.266	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/016_pres_64s_3l && bash run.sh -e pres_64s_3l -i 016 -s 64 -c 32 -rmo
34	:	1613666719.362	     4.819	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/033_pres_64s_3l && bash run.sh -e pres_64s_3l -i 033 -s 64 -c 32 -rmo
33	:	1613666719.292	     4.892	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/032_pres_64s_3l && bash run.sh -e pres_64s_3l -i 032 -s 64 -c 32 -rmo
35	:	1613666720.089	     4.174	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/034_pres_64s_3l && bash run.sh -e pres_64s_3l -i 034 -s 64 -c 32 -rmo
36	:	1613666720.196	     4.157	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/035_pres_64s_3l && bash run.sh -e pres_64s_3l -i 035 -s 64 -c 32 -rmo
37	:	1613666720.276	     4.134	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/036_pres_64s_3l && bash run.sh -e pres_64s_3l -i 036 -s 64 -c 32 -rmo
38	:	1613666720.351	     4.179	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/037_pres_64s_3l && bash run.sh -e pres_64s_3l -i 037 -s 64 -c 32 -rmo
40	:	1613666720.368	     4.273	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/039_pres_64s_3l && bash run.sh -e pres_64s_3l -i 039 -s 64 -c 32 -rmo
41	:	1613666720.498	     4.241	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/040_pres_64s_3l && bash run.sh -e pres_64s_3l -i 040 -s 64 -c 32 -rmo
39	:	1613666720.361	     4.381	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/038_pres_64s_3l && bash run.sh -e pres_64s_3l -i 038 -s 64 -c 32 -rmo
51	:	1613666720.680	     4.970	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/050_pres_64s_3l && bash run.sh -e pres_64s_3l -i 050 -s 64 -c 32 -rmo
46	:	1613666720.600	     5.118	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/045_pres_64s_3l && bash run.sh -e pres_64s_3l -i 045 -s 64 -c 32 -rmo
45	:	1613666720.595	     5.191	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/044_pres_64s_3l && bash run.sh -e pres_64s_3l -i 044 -s 64 -c 32 -rmo
49	:	1613666720.671	     5.187	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/048_pres_64s_3l && bash run.sh -e pres_64s_3l -i 048 -s 64 -c 32 -rmo
58	:	1613666720.836	     5.199	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/057_pres_64s_3l && bash run.sh -e pres_64s_3l -i 057 -s 64 -c 32 -rmo
47	:	1613666720.653	     5.475	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/046_pres_64s_3l && bash run.sh -e pres_64s_3l -i 046 -s 64 -c 32 -rmo
43	:	1613666720.587	     5.619	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/042_pres_64s_3l && bash run.sh -e pres_64s_3l -i 042 -s 64 -c 32 -rmo
42	:	1613666720.584	     5.623	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/041_pres_64s_3l && bash run.sh -e pres_64s_3l -i 041 -s 64 -c 32 -rmo
55	:	1613666720.741	     5.467	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/054_pres_64s_3l && bash run.sh -e pres_64s_3l -i 054 -s 64 -c 32 -rmo
44	:	1613666720.591	     5.616	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/043_pres_64s_3l && bash run.sh -e pres_64s_3l -i 043 -s 64 -c 32 -rmo
63	:	1613666720.866	     5.664	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/062_pres_64s_3l && bash run.sh -e pres_64s_3l -i 062 -s 64 -c 32 -rmo
53	:	1613666720.689	     5.916	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/052_pres_64s_3l && bash run.sh -e pres_64s_3l -i 052 -s 64 -c 32 -rmo
59	:	1613666720.844	     5.992	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/058_pres_64s_3l && bash run.sh -e pres_64s_3l -i 058 -s 64 -c 32 -rmo
57	:	1613666720.833	     6.068	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/056_pres_64s_3l && bash run.sh -e pres_64s_3l -i 056 -s 64 -c 32 -rmo
60	:	1613666720.850	     6.123	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/059_pres_64s_3l && bash run.sh -e pres_64s_3l -i 059 -s 64 -c 32 -rmo
48	:	1613666720.664	     6.387	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/047_pres_64s_3l && bash run.sh -e pres_64s_3l -i 047 -s 64 -c 32 -rmo
62	:	1613666720.860	     6.192	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/061_pres_64s_3l && bash run.sh -e pres_64s_3l -i 061 -s 64 -c 32 -rmo
52	:	1613666720.683	     6.369	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/051_pres_64s_3l && bash run.sh -e pres_64s_3l -i 051 -s 64 -c 32 -rmo
64	:	1613666720.907	     6.146	0	557	1	0	cd _experiments/pres_64s_3l/_simulations/063_pres_64s_3l && bash run.sh -e pres_64s_3l -i 063 -s 64 -c 32 -rmo
